iter	Passed	Remaining
1617	31486	7433
1618	31506	7414
1619	31545	7399
1620	31585	7384
1621	31633	7372
1622	31674	7357
1623	31711	7342
1624	31756	7328
1625	31799	7314
1626	31837	7298
1627	31875	7283
1628	31915	7268
1629	31953	7253
1630	31997	7239
1631	32040	7224
1632	32082	7210
1633	32128	7196
1634	32167	7181
1635	32204	7165
1636	32240	7149
1637	32280	7134
1638	32323	7119
1639	32367	7104
1640	32405	7089
1641	32447	7074
1642	32488	7059
1643	32526	7043
1644	32566	7027
1645	32605	7012
1646	32643	6996
1647	32685	6981
1648	32729	6966
1649	32769	6951
1650	32810	6935
1651	32848	6919
1652	32888	6904
1653	32926	6887
1654	32969	6872
1655	33005	6856
1656	33045	6840
1657	33082	6823
1658	33122	6808
1659	33162	6792
1660	33203	6776
1661	33239	6759
1662	33275	6743
1663	33316	6727
